epoch,batch_idx,loss,accuracy,vertex_count,node_count,batch_size,protein_names
0,0,0.7212691307067871,0.5,27089,13257.0,64,3FD4_B;3C9G_A;3NS1_A;1Q6I_B;3HJ5_B;3DTO_C;1UIJ_A;2PQS_A;2VH5_HL;3DGC_L;3AFF_A;2OCV_B;2GR7_D;3CAE_G;1TDQ_B;2Z8V_D;3Q9U_A;2F4M_A;1EHI_A;1DVF_D;2OL5_B;1WDW_A;1JTD_B;5B64_A;1MAS_B;1U6J_H;2ARJ_Q;2ZFD_A;3KCP_A;3SPS_C;1I1D_C;3EUH_D;1Y3D_E;1BUH_A;3SXY_A;2JRI_A;3LA2_A;1N1E_A;1VHZ_B;3CQ9_C;5LWY_A;2HTB_D;1P4O_B;3FJK_B;1SND_A;2RBD_A;2O3A_B;1ZV5_A;3QHY_B;2OVI_D;2G9W_A;2YQ7_A;2H0Q_B;3U1D_A;3M85_E;1NKQ_F;3QHY_A;3GBN_L;3FVM_A;4IU3_A;1C9P_A;1PZN_D;1Y33_E;3BL4_A
0,1,0.7225892543792725,0.5,28205,13791.0,64,1XX7_B;3D5N_H;1B2U_A;2QF3_C;2ZCL_H;1MW5_B;2VGL_M;3RF6_B;2VX8_B;1XQS_C;3S6L_C;4OLZ_G;4DVG_B;2SIC_I;3TQT_A;2PQ2_A;3EUH_A;2OB9_B;3B2U_V;1NBA_D;3E5P_A;3T3X_A;1RFZ_D;2OGX_B;2Z4R_C;3ZO0_B;1PZM_A;3NGZ_B;1CQ3_A;1VRK_A;3GQI_B;3E1V_B;4LGP_A;2HE9_A;1PB0_A;2NO4_B;3P0C_B;4ZQK_A;1Z9O_B;1UGH_E;3DMC_A;2ZFD_B;1JNP_B;3M8N_A;2A6P_A;2ONL_A;3IWM_D;3MMY_G;3C5W_P;1U2M_B;3HY2_Y;3ZET_B;1GT7_O;2V57_B;3EFY_A;1TM3_E;3DFZ_A;5FZT_A;3TJR_B;3UC0_B;3N44_B;2BE1_A;3GRW_H;1V8P_G
0,2,0.7230057716369629,0.5,29911,14415.0,64,5O4O_C;2QL3_J;2J88_A;2PTC_E;3P70_F;3SSO_D;3G3B_A;2P46_A;3VG8_E;5FR1_B;3D85_C;1P8C_A;1QJG_E;1JZO_A;1LQW_A;3B8I_F;3EUH_B;1NFD_B;2HQL_A;2CN4_B;1EI1_B;1YC8_A;1NX1_A;2RG7_D;1U2E_A;3LOR_C;3RHF_B;3GJ4_A;1HE1_C;3M6N_C;1Y1A_B;2VN8_B;2PHD_A;3G1Z_B;3QWQ_B;5TZ2_C;3C4P_A;1KCA_H;2I9L_L;2P10_D;3JVF_B;3P6K_B;3I9S_D;2IDE_C;2CB2_B;3MZL_D;5D1K_B;1XPJ_A;3E2K_A;1G09_A;3B08_A;4H03_B;3N06_A;3KL9_J;3K3P_A;1GQG_B;2ZBK_C;3A17_F;3IOL_A;1Y6N_R;3PND_D;3IOY_B;2X17_3;3ZUP_B
0,3,0.7236959934234619,0.5,29646,14514.0,64,2IZZ_A;3U5Z_N;3AB0_BC;5L8J_A;2RAF_A;3OED_C;1LFD_B;6FAX_R;3NXZ_D;1UP4_B;3DDH_B;3RBQ_B;1JHL_HL;1U2V_G;2E85_B;1BJ1_K;5VEB_X;3HJ9_B;3SQN_B;2OIZ_B;4MIT_A;2J4E_F;2OR0_A;4A1U_A;3IS5_E;2ZUQ_A;1TZ9_B;2Z3R_A;3H87_A;1OC0_A;3IML_A;3S19_B;3LLK_A;5TE7_G;2V5H_D;5F4E_B;4J6R_G;2QAD_E;1D2Z_A;1OQB_C;3DXD_C;1H6D_A;3HPV_C;3R6M_D;3Q0V_A;3DPI_A;5D1L_B;1YFN_D;2WH6_A;2CE8_A;1GX7_A;1Y0G_A;2A1A_B;5IUS_C;3AGY_A;1Z6O_A;3DSN_C;3FLD_A;2F3E_B;3CNH_A;3B9K_B;3IIF_B;3RWR_G;2O9Q_A
0,4,0.7208230495452881,0.5,28894,14012.0,64,3HO7_A;1GUA_A;2WYR_L;2H7V_A;3NIC_G;1DEE_A;4ZRP_A;2Y1H_B;2OKI_B;3GAS_C;1YKE_D;3F1P_A;2PCB_A;4KDI_A;3G13_B;2EH8_L;3D7J_D;2BCJ_Q;2GXF_B;2AF4_C;2G6Y_C;1ES0_B;2RD7_A;1XEB_D;1I78_B;3S6L_B;3S1J_B;2R47_B;4HEP_G;3QOE_A;3GC3_A;2GSZ_F;3Q0V_B;3JRQ_B;2INU_C;2RA6_C;3HA4_E;2ETE_A;4PLJ_B;3QW2_A;1O1N_B;3KK4_B;2VE7_C;1Y8G_B;1NVU_R;3MPO_D;2PEB_A;2FSY_E;3RSI_C;1JN9_D;1R8S_E;1Q23_H;1RF8_B;3P16_A;1EZ1_B;1WOV_B;3HYM_F;5TUD_A;2X36_C;3PNK_B;1TO0_H;1EER_B;4O9H_A;3N5C_A
0,5,0.7215704917907715,0.5,30204,14903.0,64,1H2S_A;3QE9_Z;3HV0_A;3TJB_A;2YXO_A;2OND_A;2PZB_A;2BCX_A;3L7Q_G;2QLC_C;2PMV_B;2GZA_B;3EZJ_C;1H1V_A;3D03_C;2DUP_A;5L8J_B;1TO1_E;2VE7_B;3E5U_A;2GKW_A;4K24_A;5F3X_A;2Z2S_G;2CZV_B;3I54_B;1XXI_D;3D6K_B;2IBD_A;2A2O_D;3IO1_B;4EQA_A;2D00_F;1JG8_D;3SF5_C;1NPP_D;2Z5C_D;3T38_A;2YGG_B;4GLV_A;3QTY_B;2CPK_E;1Q7L_C;3DBI_A;1T0P_A;2PP1_B;6BIT_G;3HXJ_D;1W4C_J;2PZK_B;3U60_B;1D8H_A;2YZE_B;1JK9_D;1HIA_AB;2HEY_T;5CXB_B;1ZPS_A;2ZIU_B;1VET_A;3L34_H;2AQ2_B;3G8L_A;ANDR_C
0,6,0.7193333506584167,0.5,31042,15359.0,64,3EFZ_A;3KCV_J;2HZK_D;3E4C_A;1E0J_A;3PRP_A;2O8Q_A;2Z2S_B;1KM1_B;1T6B_Y;2B11_B;1ZXO_C;2O95_A;1U6J_G;3D54_D;2M55_A;3BE6_B;5HPK_A;2A41_A;3KJ4_A;3L09_A;1JKV_D;5AGX_A;1YV1_B;2EIZ_BA;1NCA_N;1Y3A_B;3BWV_A;2I10_A;3SO3_A;4BPX_D;4U0Q_B;3CJD_A;2CVO_D;1TIJ_B;1DE4_AB;3JSK_G;4ZGY_A;3GFD_A;2IOU_D;3G7K_A;3U61_B;2VOH_A;3PYY_A;3IKK_B;2X65_B;2RB9_C;2QAD_A;2FMY_D;2XQR_B;3K75_D;1F3T_A;1ID5_H;2DPP_B;2F6L_B;4D3C_A;3Q87_B;2XKP_F;4ML7_A;1LM7_B;1Z7M_B;1DEV_C;2YVS_B;2C9T_J
0,7,0.716222882270813,0.5,29809,13996.0,64,2DX0_A;1JFM_D;1T33_B;2EK5_B;1VH5_B;1FLC_F;2NZ1_X;2O0Y_C;2OV9_D;1I4D_D;4KR0_B;2CO6_A;3BCP_B;2WZP_B;1H9D_B;2AZN_A;2P22_A;5GMQ_A;2GQS_B;3B5U_D;3LGS_C;5HBT_B;1FAK_HL;2O95_B;5YY5_A;4DS8_B;3E38_B;3Q1P_B;1H2M_A;2X3Y_G;3RF1_A;2OPD_A;2I0B_A;3RVX_D;3JVZ_B;3A5I_B;4Q96_E;1MA9_B;2D4U_A;5KVE_HL;3CJX_G;1IRA_X;3M65_B;4H3P_A;3G14_B;2ZBK_A;1QS4_B;1ZKU_B;3M2T_B;5DCQ_F;3REA_C;3SUA_A;2H5N_B;3L0R_A;2P1J_B;3GW6_A;1UWG_L;4MRT_A;3EZ6_A;1XLY_A;1W39_C;3BWO_C;1TQ9_A;2F9W_A
0,8,0.7236162424087524,0.5,31454,15667.0,64,2HYX_D;4XNZ_D;3B8I_E;1XDK_E;1TZS_A;3CE9_A;2Z4E_B;2WZJ_B;3B5U_F;3CHX_F;5BJZ_A;1PXV_B;1G0V_A;2C9T_F;4PEQ_A;1QS4_C;2O0Y_D;3G33_B;5LBS_HL;2OQM_B;3ON0_A;4V0M_F;2ZOQ_B;4GN4_B;1F9Z_A;1X8Z_B;3H8L_A;3N9X_B;2DX7_B;3DNM_B;4JW2_B;3QT6_A;1NW2_E;3ON0_B;3PCC_P;3S6Z_C;1FQ1_B;3MZL_H;2AVF_B;3QNR_A;1U0S_Y;2V52_B;1ZKP_D;2QJW_B;3NYM_B;2YVE_B;2Q1E_A;3EEY_D;1OT8_B;3M6N_B;3EGG_C;2YYV_A;2JGZ_A;3R4D_A;2WYR_G;2D42_A;2HA9_B;1EF8_A;1PYW_A;4XOI_B;3HCS_B;3M1L_B;2TGP_Z;3HHI_B
0,9,0.7217398881912231,0.5,30224,14005.0,64,4G01_A;3ESK_A;3ZU7_A;3OBV_B;2EV5_B;2GM3_C;3T4E_B;1J2U_C;3BKY_L;3QBV_A;3I9V_G;3SDL_C;3QQW_F;3A8I_A;5JZ7_A;3TEO_J;2WTH_B;4QRP_L;1J2J_A;5JKE_B;3CAZ_B;1AKJ_AB;2FUR_B;2C2L_D;1FR8_B;1YL7_D;2DOI_X;4HEP_A;2WFF_1;3Q6A_D;3D1L_B;2AZE_A;3ECH_B;2PB2_B;5C3F_A;2J6R_A;1F15_B;3AHS_A;1SHW_B;6C6Z_A;3HWS_C;2P2C_K;1TOA_B;3DXB_G;1I78_A;2Z8M_B;2O4M_B;3CRC_A;2KHM_A;3M84_A;3DAE_B;3GT8_B;3T6O_B;4MSM_A;2AST_A;3JSJ_A;2B0Z_A;3RF1_B;2QV6_C;1FSK_D;1NFV_G;3NQO_B;1ZY4_B;3TLF_B
